Run_ID,Method,Best_Guess,True_Min,Relative_Error,Kappa
1,aquisition,7.460965564684301,6.136616757932259,0.2158109034656879,4.0
1,aquisition,6.758813620676704,4.061740789949981,0.6640189441433892,4.0
1,aquisition,6.013453465839632,6.369200012526859,0.0558541961294274,4.0
1,aquisition,5.906976760006741,7.0834309420789,0.1660853605677821,4.0
1,aquisition,8.875809131890719,7.031668678701736,0.2622621368345625,4.0
1,aquisition,8.415302255733033,6.155377006927497,0.367146520231357,4.0
1,aquisition,4.741205291736216,4.586196469269296,0.0337989930229957,4.0
1,aquisition,3.564195034746291,5.131464328069423,0.3054234021953682,4.0
1,aquisition,8.43122766006502,8.158874239128941,0.0333812500295573,4.0
1,aquisition,4.782218278381411,5.582774422086604,0.1433975445144314,4.0
1,aquisition,5.813022525006906,4.944555535487594,0.1756410628389615,4.0
1,aquisition,2.941050976978893,3.2393478977969057,0.0920854845572115,4.0
1,aquisition,6.008294688482209,6.843963676894042,0.1221030718256353,4.0
1,aquisition,3.3662877790514827,6.498890151115315,0.4820211296426093,4.0
1,aquisition,6.047720996102619,7.247114877950197,0.1654994990484846,4.0
1,aquisition,3.864200223369501,4.698215571688684,0.1775174713874213,4.0
1,aquisition,4.942433014967158,5.497221717535223,0.1009216529867044,4.0
1,aquisition,5.92458301945452,7.040614381528552,0.1585133486364489,4.0
1,aquisition,5.615565974116311,4.665566361407238,0.2036193548906103,4.0
1,aquisition,6.022666552792401,4.853893875742118,0.2407907356383204,4.0
1,aquisition,8.263381826838001,8.680902113421148,0.0480964168387104,4.0
1,aquisition,1.9780610716123448,1.2331130860785011,0.6041197631783296,4.0
1,aquisition,2.006059103689524,4.825384300710504,0.584269567214751,4.0
1,aquisition,6.754694449306342,5.28894434781578,0.2771347182157221,4.0
1,aquisition,4.893485842451689,4.771451089519712,0.0255760251215863,4.0
1,aquisition,5.502573948722834,5.2371265538444165,0.0506856941777662,4.0
1,aquisition,5.777614421882063,5.634793671954066,0.0253462252999352,4.0
1,aquisition,8.09300420936938,6.33308330345566,0.2778932190823093,4.0
1,aquisition,1.7755080047843173,6.039292899214195,0.7060073034352519,4.0
1,aquisition,7.594387163969266,7.013314555499723,0.0828527800758452,4.0
1,aquisition,6.788638442613608,6.053426712315085,0.121453808766332,4.0
1,aquisition,7.273398414193155,6.344598845280374,0.1463921662444737,4.0
1,aquisition,5.323629128654318,5.1275444887467705,0.0382414312226616,4.0
1,aquisition,8.843978647376048,6.778715988270132,0.3046687105168056,4.0
1,aquisition,4.475197683563211,6.807390693214747,0.3425972027690646,4.0
1,aquisition,7.9627356025968545,7.755394035132561,0.0267351428599268,4.0
1,aquisition,7.767763074104614,8.205582126379872,0.0533562452403865,4.0
1,aquisition,6.711427887830342,5.975282951064594,0.1231983393580703,4.0
1,aquisition,3.836401153371396,5.54128893083659,0.3076698939082031,4.0
1,aquisition,3.9453690761014144,4.652667503163013,0.1520199813506461,4.0
1,aquisition,1.0569239406291706e-51,4.68199310226031,1.0,4.0
1,aquisition,3.4996720657134377,2.892082759499269,0.2100871090975851,4.0
1,aquisition,4.501277481100077,4.407160505666078,0.0213554680645275,4.0
1,aquisition,7.659007695723631,5.893038292022636,0.299670444376982,4.0
1,aquisition,3.02019876521753,3.629526106042951,0.1678806882834997,4.0
1,aquisition,5.973696703774508,4.375898392121867,0.3651360631520218,4.0
1,aquisition,4.534668301633118,4.584793088283449,0.0109328350669577,4.0
1,aquisition,3.624201913776752,5.994733759001427,0.3954357175020809,4.0
1,aquisition,7.13510788876444,7.073034065848129,0.0087761238442257,4.0
1,aquisition,7.658031558125646,9.15630115161932,0.1636326250834049,4.0
1,aquisition,2.2609198524447685,2.342490489046372,0.0348221847572198,4.0
1,aquisition,5.885224646767647,5.089220728332774,0.1564097847050236,4.0
1,aquisition,5.530540272830542,5.701101726877957,0.0299172795397246,4.0
1,aquisition,5.646494542266815,5.524206229360269,0.0221368116665528,4.0
1,aquisition,6.863387846080851,6.904339097656305,0.0059312341118,4.0
1,aquisition,5.969173992486142,6.011464913132889,0.0070350440795815,4.0
1,aquisition,4.869148121926173,5.294444799542519,0.0803288529239353,4.0
1,aquisition,3.480742779170729,2.877214322423861,0.2097613834475965,4.0
1,aquisition,2.797854224611175,4.936528728487994,0.433234489558389,4.0
1,aquisition,4.55842428672827,6.484042235261636,0.2969780082648807,4.0
1,aquisition,8.499878247599302,8.469162441755973,0.0036267819934458,4.0
1,aquisition,8.170444120353231,8.128422887723877,0.005169666146777,4.0
1,aquisition,6.6816126491044,6.724213389608874,0.0063354236452855,4.0
1,aquisition,4.093447165187584,3.585096683179117,0.141795473576373,4.0
1,aquisition,2.6576981575394143,6.950226261348933,0.6176098363417027,4.0
1,aquisition,6.544091892005935,4.286339329028967,0.5267321109382263,4.0
1,aquisition,3.1320761387807945,4.2553865966204905,0.2639737735536879,4.0
1,aquisition,6.94084773352111,6.257981651183735,0.1091192209245622,4.0
1,aquisition,5.678021995898199,6.563925472016827,0.1349654989069255,4.0
1,aquisition,4.440048323743841,2.2394210215264456,0.9826768977623476,4.0
1,aquisition,4.697129565633958,4.896084311406752,0.0406354819726603,4.0
1,aquisition,5.537199808984071,4.902206179746528,0.1295322158951656,4.0
1,aquisition,3.580521601237706,4.161807543956698,0.1396715096936832,4.0
1,aquisition,6.874159468679288,6.528796558413589,0.0528984028183009,4.0
1,aquisition,5.931134289646872,5.093112669703723,0.1645401691048586,4.0
1,aquisition,3.6270090183397934,4.191350292655513,0.1346442637602043,4.0
